ID,W-pH,W-DO,W-TN,W-NO_{2}^{-},W-NO_{3}^{-},W-NH_{4}^{+},W-COD,W-PO_{4}^{3-},W-TP,W-T
W-N4,8.33,7.87,3.92,0.555,0.1620181,2.1385,8.39,0.0154,1.006195212,21.5
W-N5,8.15,7.58,4.48,0.3779,0.0811902,1.9267,7.1,0.0293,0.690112947,20.6
W-N6,8.64,7.8,4.5,0.3122,0.2045591,1.6885,8.23,0.0091,1.374957856,22.3
W-N7,8.82,8.98,4.06,0.0366,0.1194771,1.2386,8.61,0.0414,1.374957856,21.9
W-N8,8.87,8.34,4.39,0.3987,0.2173214,1.3577,8.69,0.0376,1.585679366,22.6
W-N9,8.29,7.88,3.71,0.3314,0.1662722,1.2253,8.1,0.0548,0.900834457,21.1
W-N10,8.23,7.88,,0.3889,0.1620181,,,0.0144,2.112483142,22.4
W-N11,8.26,7.96,,0.354,0.0811902,,,0.0188,0.953514835,22.3
W-N12,8.37,8.24,,0.334,0.2045591,,,0.0352,0.426711059,22.3
W-P1,8.97,11.55,2.63,0.1203,0.1322394,1.1592,6.9,0.0459,0.900834457,28.9
W-P2,9.14,10.36,2.81,0.1195,0.1705263,0.6563,6.84,0.1283,2.217843898,28.3
W-P3,9.15,12.16,2.73,0.1264,0.1705263,1.4635,6.91,0.0272,0.84815408,28.4
W-P4,9.35,10.31,2.56,0.0959,0.1067148,1.0665,7.8,0.0994,1.901761632,28.4
W-P5,9.17,11.12,2.66,0.099,0.0982066,0.8018,7.3,0.0393,0.426711059,29.1
W-P6,9.46,11.33,2.84,0.0929,0.1790345,1.0136,6.85,0.0361,1.638359744,27.9
W-P7,9.4,10.71,2.65,0.0845,0.0939525,0.8812,7.56,0.0367,0.795473702,29.2
W-P8,9.39,13.64,2.74,0.0822,0.1067148,1.7415,6.39,0.0282,0.479391436,28.3
W-P9,9.32,12.24,,0.099,0.0982066,,,0.0616,0.268669926,28.7
W-P10,9.42,11.36,,0.0932,0.1790345,,,0.0435,0.532071814,28.4
W-P11,9.38,12.15,,0.0856,0.0939525,,,0.0397,0.953514835,28.7
W-P12,9.26,13.42,,0.083,0.1067148,,,0.0363,1.111555968,28.6
W-H1,8.82,10.57,2.26,0,0.0131246,1.6024,6.79,0.0195,0.795473702,19.9
W-H2,8.99,8.91,2.7,0,0.0046164,1.7836,7.26,0.0099,1.006195212,19.6
W-H3,8.85,9.17,2.42,0,0.0131246,0.184,6.7,0.0257,1.111555968,20.1
W-H4,8.83,8.93,2.86,0,0.0003623,0.7059,6.77,0.012,0.690112947,20.2
W-H5,9.01,10.05,2.78,0,0.0386492,0.1748,7.31,0.0278,0.795473702,20.4
W-H6,9.15,9.34,2.11,0,0.030141,0.9193,7.59,0.0305,1.006195212,20.3
W-H7,9.08,9.55,2.87,0,0.0258869,0.3767,6.4,0.0274,1.05887559,20.6
W-H8,9.11,9.14,2.9,0,0.0514115,0.6678,5.94,0.0733,1.743720499,20.4
W-H9,8.79,8.82,2.38,0,0.0088705,1.0855,6.92,0.0656,1.322277478,22.6
W-H10,9.17,9.74,2.33,0,0.030141,1.3502,6.11,0.0799,1.480318611,21.4
W-H11,9.14,9.78,2.63,0,0.0046164,1.4222,6.13,0.0065,1.480318611,22
W-H12,8.78,10.73,2.1,0,0.0173787,1.1724,5.6,0.0048,1.006195212,22.3
