ID,W-pH,W-DO,W-TN,W-NO_{2}^{-},W-NO_{3}^{-},W-NH_{4}^{+},W-COD,W-PO_{4}^{3-},W-TP,W-T
L-P6,8.25,8.08,2.3579514,0.0929,0.098,1.81,9.18,0.014,0.12,19.5
L-P7,8.3,8.59,2.2797938,0.0845,0.098,2.14,9.52,0.009,0.13,19.9
L-P8,8.32,8.58,2.361871155,0.0822,0.088,1.56,9.44,0.013,0.12,20.1
L-P9,8.29,8.36,2.0276,0.099,0.098,2,9.24,0.012,0.05,18.8
L-P10,7.73,8.18,,0.0932,0.123,,9.44,0.011,0.04,19.9
L-P11,7.49,8.35,,0.0856,0.122,,9.34,0.012,0.08,20.5
L-P12,7.37,8.35,,0.083,0.131,,9.56,0.016,0.11,19.9
L-H1,7.06,8.02,2.66,0.0195,0.09,1.39,8.22,0.014,0.04,19.1
L-H2,7.98,8.37,2.5,0.0195,0.07,1.19,8.4,0.009,0.06,19.7
L-H3,7.84,8.28,1.94,0.0203,0.074,1.35,8.62,0.01,0.08,19.3
L-H4,7.62,8.66,1.91,0.0201,0.138,1.2,8.54,0.009,0.09,19.6
L-H5,7.86,8.6,1.9,0.039,0.174,1.31,8.38,0.009,0.07,19.7
L-H6,7.87,8.43,1.87,0.0193,0.121,1.18,8.52,0.008,0.08,19.6
L-H7,7.38,8.43,1.92,0.0232,0.128,1.27,8.56,0.006,0.08,19.7
L-H8,7.26,8.64,1.92,0.0195,0.121,1.15,8.38,0.007,0.06,18.4
L-H9,7.84,8.61,1.98,0.02,0.125,1.43,8.62,0.008,0.09,19.2
L-H10,7.35,8.27,1.65,0.0195,0.109,1.22,8.68,0.01,0.03,19.5
L-H11,7.95,8.48,2.59,0.0236,0.114,1.27,8.56,0.011,0.02,19.5
L-H12,7.98,8.77,2.5,0.0395,0.084,1.3,5.02,0.011,0.04,20.3
W-N1,8.4,8.21,1.86,0.0248,0.1024607,1.0177,9.27,0.0333,1.2695971,21.2
W-N2,8.29,8.11,1.83,0.0206,0.1790345,1.3449655,7.93,0.0137,1.954442009,21.2
W-N3,8.5,8.01,2.54,0.0334,0.2683706,1.9759294,8.81,0.0178,0.584752192,21.4
W-N4,8.33,7.87,1.92,0.0236,0.1620181,1.2029819,8.39,0.0154,1.006195212,21.5
W-N5,8.15,7.58,2.48,0.0228,0.0811902,1.9267,7.1,0.0293,0.690112947,20.6
W-N6,8.64,7.8,2.5,0.0242,0.2045591,1.6885,8.23,0.0091,1.374957856,22.3
W-N7,8.82,8.98,2.06,0.0255,0.1194771,1.2386,8.61,0.0414,1.374957856,21.9
W-N8,8.87,8.34,2.39,0.0626,0.2173214,1.3577,8.69,0.0376,1.585679366,22.6
W-N9,8.29,7.88,1.71,0.0284,0.1662722,1.2253,8.1,0.0548,0.900834457,21.1
W-N10,8.23,7.88,,0.0222,0.1620181,,,0.0144,2.112483142,22.4
W-N11,8.26,7.96,,0.0234,0.0811902,,,0.0188,0.953514835,22.3
W-N12,8.37,8.24,,0.0232,0.2045591,,,0.0352,0.426711059,22.3
W-P1,8.97,11.55,1.63,0.0557,0.1322394,1.1592,6.9,0.0459,0.900834457,28.9
W-P2,9.14,10.36,1.81,0.0288,0.1705263,0.6563,6.84,0.1283,2.217843898,28.3
W-P3,9.15,12.16,1.73,0.0236,0.1705263,1.4330737,6.91,0.0272,0.84815408,28.4
W-P4,9.35,10.31,1.56,0.0518,0.1067148,1.0665,7.8,0.0994,1.901761632,28.4
W-P5,9.17,11.12,1.66,0.0247,0.0982066,0.8018,7.3,0.0393,0.426711059,29.1
W-P6,9.46,11.33,1.84,0.022,0.1790345,1.0136,6.85,0.0361,1.638359744,27.9
W-P7,9.4,10.71,1.65,0.0534,0.0939525,0.8812,7.56,0.0367,0.795473702,29.2
W-P8,9.39,13.64,1.74,0.0227,0.1067148,1.5510852,6.39,0.0282,0.479391436,28.3
W-P9,9.32,12.24,,0.0211,0.0982066,,,0.0616,0.268669926,28.7
W-P10,9.42,11.36,,0.0233,0.1790345,,,0.0435,0.532071814,28.4
W-P11,9.38,12.15,,0.0256,0.0939525,,,0.0397,0.953514835,28.7
W-P12,9.26,13.42,,0.0234,0.1067148,,,0.0363,1.111555968,28.6
W-H1,8.82,10.57,1.26,0,0.0131246,1.2468754,6.79,0.0195,0.795473702,19.9
W-H2,8.99,8.91,1.7,0,0.0046164,1.6953836,7.26,0.0099,1.006195212,19.6
W-H3,8.85,9.17,1.42,0,0.0131246,0.184,6.7,0.0257,1.111555968,20.1
W-H4,8.83,8.93,1.86,0,0.0003623,0.7059,6.77,0.012,0.690112947,20.2
W-H5,9.01,10.05,1.78,0,0.0386492,0.1748,7.31,0.0278,0.795473702,20.4
W-H6,9.15,9.34,1.11,0,0.030141,0.9193,7.59,0.0305,1.006195212,20.3
W-H7,9.08,9.55,1.87,0,0.0258869,0.3767,6.4,0.0274,1.05887559,20.6
W-H8,9.11,9.14,1.9,0,0.0514115,0.6678,5.94,0.0733,1.743720499,20.4
W-H9,8.79,8.82,1.38,0,0.0088705,1.0855,6.92,0.0656,1.322277478,22.6
W-H10,9.17,9.74,1.33,0,0.030141,1.299859,6.11,0.0799,1.480318611,21.4
W-H11,9.14,9.78,1.63,0,0.0046164,1.4222,6.13,0.0065,1.480318611,22
W-H12,8.78,10.73,1.1,0,0.0173787,1.0826213,5.6,0.0048,1.006195212,22.3
